,date,weekly_sales,temperature_c,fuel_price_usd_per_l
0,2/5/2010,24924.5,5.727777778,0.679450839
1,3/5/2010,21827.9,8.055555556,0.693451964
2,4/2/2010,57258.43,16.81666667,0.718284149
3,5/7/2010,17413.94,22.52777778,0.748928121
4,6/4/2010,17558.09,27.05,0.714585738
5,7/2/2010,16333.14,27.17222222,0.70507554
6,8/6/2010,17508.41,30.64444444,0.693980309
7,9/3/2010,16241.78,27.33888889,0.6807717
8,10/1/2010,20094.19,22.16111111,0.687640176
9,11/5/2010,34238.88,14.85555556,0.710358984
10,12/3/2010,22517.56,9.594444444,0.715378255
11,1/7/2011,15984.24,9.038888889,0.786176398
12,2/5/2010,50605.27,5.727777778,0.679450839
13,3/5/2010,48397.98,8.055555556,0.693451964
14,4/2/2010,47450.5,16.81666667,0.718284149
15,5/7/2010,47903.01,22.52777778,0.748928121
16,6/4/2010,48754.47,27.05,0.714585738
17,7/2/2010,47077.72,27.17222222,0.70507554
18,8/6/2010,50031.73,30.64444444,0.693980309
19,9/3/2010,49015.05,27.33888889,0.6807717
20,10/1/2010,45829.02,22.16111111,0.687640176
21,11/5/2010,46381.43,14.85555556,0.710358984
22,12/3/2010,44405.02,9.594444444,0.715378255
23,1/7/2011,43202.29,9.038888889,0.786176398
24,2/5/2010,13740.12,5.727777778,0.679450839
25,3/5/2010,12275.58,8.055555556,0.693451964
26,4/2/2010,11157.08,16.81666667,0.718284149
27,5/7/2010,9372.8,22.52777778,0.748928121
28,6/4/2010,8001.41,27.05,0.714585738
29,7/2/2010,7857.88,27.17222222,0.70507554
30,8/6/2010,26719.02,30.64444444,0.693980309
31,9/3/2010,19081.8,27.33888889,0.6807717
32,10/1/2010,9775.17,22.16111111,0.687640176
33,11/5/2010,9825.22,14.85555556,0.710358984
34,12/3/2010,10856.85,9.594444444,0.715378255
35,1/7/2011,15808.15,9.038888889,0.786176398
36,2/5/2010,39954.04,5.727777778,0.679450839
37,3/5/2010,38086.19,8.055555556,0.693451964
38,4/2/2010,37809.49,16.81666667,0.718284149
39,5/7/2010,37168.34,22.52777778,0.748928121
40,6/4/2010,40548.19,27.05,0.714585738
41,7/2/2010,39773.71,27.17222222,0.70507554
42,8/6/2010,40973.88,30.64444444,0.693980309
43,9/3/2010,38321.88,27.33888889,0.6807717
44,10/1/2010,34912.45,22.16111111,0.687640176
45,11/5/2010,37980.55,14.85555556,0.710358984
46,12/3/2010,37110.55,9.594444444,0.715378255
47,1/7/2011,37947.8,9.038888889,0.786176398
48,2/5/2010,32229.38,5.727777778,0.679450839
49,3/5/2010,23082.14,8.055555556,0.693451964
50,4/2/2010,29967.92,16.81666667,0.718284149
51,5/7/2010,19260.44,22.52777778,0.748928121
52,6/4/2010,22932.26,27.05,0.714585738
53,7/2/2010,18887.71,27.17222222,0.70507554
54,8/6/2010,16926.17,30.64444444,0.693980309
55,9/3/2010,15390.52,27.33888889,0.6807717
56,10/1/2010,23381.38,22.16111111,0.687640176
57,11/5/2010,23903.81,14.85555556,0.710358984
58,12/3/2010,36472.02,9.594444444,0.715378255
59,1/7/2011,22699.69,9.038888889,0.786176398
60,2/5/2010,5749.03,5.727777778,0.679450839
61,3/5/2010,4221.25,8.055555556,0.693451964
62,4/2/2010,4132.61,16.81666667,0.718284149
63,5/7/2010,7477.7,22.52777778,0.748928121
64,6/4/2010,5484.9,27.05,0.714585738
65,7/2/2010,4541.91,27.17222222,0.70507554
66,8/6/2010,4700.38,30.64444444,0.693980309
67,9/3/2010,3553.75,27.33888889,0.6807717
